host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,count_total
within a few hours,100,f,1,Queen Anne,47.63788372,-122.3673711,Townhouse,Entire home/apt,2,1.5,1,1,150,500,50,2,30,4,0,0,0,212,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,491
within an hour,100,f,1,Queen Anne,47.63751735,-122.3608117,Apartment,Entire home/apt,2,1,1,1,145,100,30,2,10,2,15,39,69,331,44,94,10,10,10,10,10,9,f,moderate,552
within a day,70,f,1,Queen Anne,47.63687418,-122.3722717,Townhouse,Private room,2,1,1,1,80,0,0,1,0,1,30,60,90,364,10,100,10,10,10,10,10,10,f,flexible,470
N/A,94.88888889,f,1,Queen Anne,47.63532192,-122.3661211,House,Entire home/apt,4,2.5,3,3,400,750,120,4,20,2,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,105
within a day,100,f,1,Queen Anne,47.63263391,-122.3693184,House,Private room,2,2,1,1,85,0,0,1,0,2,0,0,0,247,2,100,10,10,10,10,10,10,f,moderate,173
N/A,94.88888889,f,2,Queen Anne,47.63260004,-122.3699524,Apartment,Private room,2,1,1,1,70,0,20,1,0,1,0,0,0,103,1,100,10,10,10,10,10,10,f,flexible,583
within a few hours,100,f,1,Queen Anne,47.63140095,-122.3676901,House,Private room,2,1,1,1,80,0,0,2,15,1,29,59,89,345,52,92,9,9,10,10,10,9,f,flexible,398
within an hour,67,f,1,Queen Anne,47.6353107,-122.3635056,House,Entire home/apt,4,1,2,2,175,250,78,4,50,1,30,48,48,48,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,477
within an hour,100,f,1,Ballard,47.66932717,-122.3925936,House,Entire home/apt,6,2.5,3,4,170,250,100,6,100,4,23,25,25,27,9,91,9,9,10,10,10,9,f,strict,295
within an hour,100,f,1,Ballard,47.67407416,-122.3938641,Apartment,Entire home/apt,2,1,1,1,85,0,50,2,20,3,20,45,75,347,65,98,10,10,10,10,10,10,t,moderate,498
