"","x"
"1873",0.0273204992735605
"3570",0.0541485964928394
"3427",0.0265905318556735
"2752",0.0202102352635888
"410",0.0373655742845975
"1195",0.0199967864534912
"3378",0.0148746281566245
"3330",0.0166737625636158
"81",0.0182731010385847
"247",0.0305538746724039
"1405",0.0193707554185765
"3424",0.0441120503190406
"5",0.0204303811303202
"2826",0.0126761769280466
"3503",0.0175596584913302
"1524",0.0289079559472523
"3065",0.0175641506133763
"2228",0.00983637665756721
"298",0.0154809369920799
"1702",0.062766332806281
"2447",0.030556882128806
"3775",0.0111250478045246
"1722",0.0288822128581153
"2813",0.0826720313696142
"365",0.0166788167192455
"68",0.014663427098511
"2541",0.0115824216375919
"200",0.0159710732181836
"905",0.0377255456729639
"1762",0.0385182336025314
"843",0.012010546096541
"1701",0.0314157008877485
"1857",0.0482844142876222
"3333",0.0112747414913245
"3436",0.0214497977612139
"1624",0.0232291072118975
"835",0.0164843800156917
"1500",0.136473442806603
"88",0.0255404541963534
"2256",0.0155147369178449
"1030",0.0372364560325217
"3387",0.026465443776754
"2319",0.0139232270299542
"3661",0.034942188872473
"1934",0.0245606709593821
"3130",0.0232834748943294
"3609",0.040175199492734
"2291",0.00870123716169262
"324",0.097099567890704
"552",0.025473889247817
"128",0.0218648373447162
"2116",0.0439962457422846
"1766",0.0198112453622334
"801",0.0448824019396609
"1804",0.0201548704345952
"3326",0.0220212201102631
"2698",0.0814021127745519
"142",0.0153886507900268
"1659",0.0202240672103554
"2695",0.0270823099534302
"3679",0.0110413343078776
"2313",0.0160293987232666
"2235",0.104222560974604
"2562",0.0441957224059429
"3446",0.0226116500506942
"2354",0.0127423207338503
"471",0.0683630753555523
"2334",0.0402125876502429
"352",0.0211458230848251
"1603",0.0198481810995823
"2618",0.0199911346798498
"3158",0.0149038711950837
"1913",0.0353023302973576
"1693",0.0233157822016331
"1106",0.0197042902695104
"3074",0.0182726265208743
"3133",0.0102812635355126
"3656",0.0173658332249967
"379",0.0162596022455033
"3513",0.022838595213209
"1085",0.0276814891993221
